user_uid,element_uid,rating
566386,747,9
61690,1415,8
153993,1912,10
207861,2714,10
526934,4558,9
355521,747,10
485006,7789,9
336070,7987,8
548275,2991,5
275475,1971,8
333324,9324,8
244115,747,10
74017,1048,10
394262,7143,10
159023,10005,10
188899,5677,6
128947,2714,9
307080,5900,10
524044,747,10
145083,6138,10
278602,747,9
342629,7166,10
119634,747,9
545238,2714,9
264086,5217,8
289079,2714,10
573172,747,10
75875,7415,7
332836,2714,8
12653,5675,9
78792,994,10
494242,270,10
29228,7502,8
136776,5441,7
346419,2714,10
526576,2714,10
420171,2552,9
126454,7644,10
503648,317,9
139019,9785,8
456693,3284,10
136558,8901,8
556692,2028,8
151493,2714,9
11942,4118,2
22204,3185,10
332885,4187,10
460607,2714,10
177456,468,8
316985,40,8
387281,8117,6
379969,747,10
481007,4673,10
69178,747,8
436138,747,10
314354,6676,7
241442,1376,10
51563,6164,9
400992,1461,10
301558,2714,8
41093,7609,10
205382,6421,8
489751,7296,10
534077,2714,8
25048,747,10
134479,6164,9
183229,2714,9
530284,2714,10
282076,2714,10
501262,6970,6
75845,1358,5
431620,747,10
408360,747,4
315498,10062,10
494242,4648,10
524044,2714,10
209709,4844,10
525240,9014,10
587125,2714,3
151066,4096,8
175289,6138,10
569885,747,10
460484,747,10
94841,2714,10
198507,5183,9
88783,3223,10
576060,2714,9
307826,5488,6
187981,9685,8
262224,9685,10
222029,2714,10
6727,747,10
232210,40,7
520380,9685,8
451327,1513,8
357350,7834,7
397803,9597,10
488504,747,10
131626,747,10
359583,7002,8
577721,2714,10
4267,7371,10
92505,7115,8
419652,7632,10
225747,1375,8
288733,747,10
201778,8117,10
78792,7371,10
185008,7371,8
544933,9540,10
137958,7143,10
110809,3218,8
563624,2714,5
429899,6311,6
592477,7371,8
548077,747,4
281825,9185,10
578446,747,9
345038,747,7
401739,3023,8
436472,8968,2
378557,747,9
178851,526,6
383348,2714,8
219964,7391,8
27974,9837,8
586782,3406,10
33073,2714,7
412396,747,9
338524,6811,10
415049,6897,10
583800,747,10
170808,4626,10
559011,747,9
153378,5738,7
478630,3185,8
139734,7878,10
187981,2844,8
536579,747,10
359583,3485,9
95694,1048,8
153642,5183,8
513641,747,10
333047,2714,10
355702,7328,8
485605,747,10
482346,8260,8
361513,6645,10
583800,2714,10
559011,2714,10
480562,2714,10
453604,2636,10
457760,8543,7
194026,2714,4
321139,2714,10
314799,3185,8
175078,2714,8
11384,8543,10
346799,2714,10
575546,2714,8
407224,2174,9
178219,2714,10
434036,2714,8
378202,1971,10
336514,2714,10
417963,7252,8
457540,747,10
121764,2714,10
167839,9388,10
494185,2714,6
227005,747,9
243666,9685,10
289756,747,10
54882,6551,7
287209,747,10
113077,10139,10
523566,747,10
111578,3861,6
425892,9827,10
304222,3414,8
473145,2714,10
72411,2565,6
563156,7115,10
498899,747,9
374979,4253,6
45377,10070,5
339434,747,10
549016,2233,10
408873,10012,8
1899,747,4
591230,2725,8
396581,2714,10
441663,3038,10
151299,2714,7
323159,747,9
120644,6119,10
347513,747,10
287337,699,9
487013,1912,10
129810,9108,10
314349,5903,9
501058,10016,10
413655,2714,10
515095,3861,8
571306,747,10
297395,2714,10
459044,2714,8
526749,1152,10
116388,2714,1
313103,2714,6
194026,747,4
317323,10170,9
213034,1140,3
109578,6138,8
324751,2714,4
274240,747,10
371080,1557,8
324751,747,4
520380,2844,8
515045,4187,10
569501,2714,8
92063,747,10
510402,1471,8
230987,2270,6
39579,4197,10
303205,747,3
520527,9694,5
319565,747,10
374707,2714,7
369364,747,10
197529,747,10
467265,747,10
408873,747,9
245288,1156,9
409451,8546,8
223426,1385,7
55583,747,10
495524,5635,10
318341,747,8
240089,3873,9
226368,2714,10
180143,747,10
167190,747,4
351908,3105,2
266428,6949,4
416162,1461,10
584260,6645,10
414816,6361,3
471730,2714,10
40375,699,10
264611,325,10
561296,12,10
43331,4183,10
333350,9016,10
358608,5694,8
201840,2552,9
112401,2714,10
263593,2714,6
153904,2714,10
508193,747,10
551079,3218,9
443094,6015,4
333350,9540,10
170563,5258,9
498265,4342,8
392492,2714,10
382947,747,10
456248,8907,10
373641,6164,10
84378,9185,8
302391,5436,10
223057,2714,10
565419,9265,10
461355,747,10
312309,747,10
352617,2921,2
150154,2714,8
558656,747,10
240360,3861,9
303480,2714,5
580395,9068,10
193600,5943,10
563821,7174,10
52180,2714,10
303508,3861,10
397534,9540,10
575982,6188,7
154424,747,9
164253,1693,9
136558,1713,10
349610,10058,10
490473,10058,8
333350,10139,9
193809,9898,8
14137,747,10
494387,8200,10
384889,3185,8
517837,2803,9
254941,2714,8
311920,747,10
106477,2714,10
399689,2714,10
449621,2714,9
50720,4510,8
421602,747,10
223312,5858,10
395198,2714,10
248097,4118,8
312004,2714,4
229422,7923,9
366934,2636,8
417767,747,10
135332,6811,8
76307,747,10
572761,2714,4
213430,4457,2
462747,8543,10
407989,4401,9
91056,1196,4
388515,6730,10
362756,7923,10
522865,2714,8
128280,8323,3
384584,2714,9
333393,747,10
477521,396,8
352617,1376,10
533691,3284,10
557894,2340,8
186210,747,10
125627,747,10
395198,747,10
302149,747,10
229583,2714,10
376229,747,6
516822,4187,10
59865,2714,9
82966,4253,6
526382,989,8
49027,2714,10
111738,5077,10
61796,1196,10
506006,2714,7
307829,3263,8
567128,2714,9
195532,747,10
148565,747,10
474115,2714,10
388992,7015,7
91056,2270,7
485537,2714,6
149511,8543,10
49293,5237,9
474266,3958,10
535426,747,10
75396,699,10
320337,7371,7
423236,2714,8
275040,3125,10
145978,8546,8
559884,8163,8
208693,2028,10
127284,2714,10
522898,2714,10
221890,2714,10
519168,6970,5
339205,9295,4
109610,6043,10
306160,5436,3
372392,10012,6
89491,7845,8
375789,9108,10
524486,9149,9
377061,4729,9
143773,6187,10
195532,2714,10
197376,747,10
533236,2714,4
489926,2340,3
278009,747,10
172876,747,10
240176,6897,10
324920,2714,9
511900,1947,10
248337,5434,6
522797,4729,7
278047,2714,8
401379,7174,10
26056,747,4
279218,2714,8
91096,747,10
180221,2714,9
137958,1557,9
109578,7115,10
528402,747,6
207174,747,10
264589,747,10
28802,6757,7
525555,1461,10
409012,9149,9
514014,8654,10
259037,6551,6
11185,9122,3
110809,2714,9
302675,3185,8
132359,747,8
323036,9597,10
332730,7174,10
33813,2714,10
396279,2028,8
516695,2714,10
593326,2714,10
344890,1156,10
471350,9411,6
284383,747,10
471216,747,10
225486,2714,10
505025,627,7
74193,932,10
146558,3218,6
310036,1971,8
44839,2622,5
29443,3185,8
478610,2714,9
28855,7371,9
48203,4735,10
72112,9675,9
208005,3038,10
45259,4486,8
192961,747,10
354065,2714,10
187123,1048,8
208402,2714,8
214063,2714,8
201594,7374,9
302782,218,9
87179,10005,8
36224,747,10
92154,2714,10
302222,747,10
589688,9597,10
398026,4510,8
537236,2714,10
498626,2714,10
311836,6551,10
497472,7274,10
547809,2714,10
536774,2714,10
334103,4481,10
455470,4461,10
106165,9149,8
83501,1156,10
345066,5034,2
487478,747,10
99914,3038,10
333186,3958,10
474466,2436,7
349596,3218,9
337753,747,10
571182,2714,10
237194,10005,10
250961,2714,7
233241,747,10
393973,1086,9
433739,2714,6
176867,8210,10
8645,747,10
214093,3023,9
420711,8200,10
156367,6130,8
320512,747,10
289844,7252,10
227448,627,7
206804,10071,8
265150,6119,10
46255,747,10
529052,10062,10
238011,2636,10
391269,7391,6
114500,2714,10
341216,9844,9
150403,747,9
430287,4491,10
4282,9149,10
12222,8258,8
342021,747,10
400465,115,10
576534,2436,10
455772,9300,8
526774,3125,10
464625,2714,8
313582,2714,10
171526,7131,8
38799,2714,5
334103,8349,10
339912,747,10
498357,6138,10
97447,747,10
425370,1513,8
530930,5677,10
503127,2714,8
148934,747,10
136585,8591,9
71262,2714,9
145192,7987,2
494686,4648,10
451795,2714,10
435516,40,10
191087,747,10
592241,2986,10
577001,2636,2
474818,5677,10
503571,2714,8
90277,9696,7
266405,747,10
20699,9057,10
466548,4501,8
521069,3990,10
512580,1385,10
225341,1912,6
304010,5675,9
363985,2714,7
452904,6456,6
279507,1513,10
268521,8822,9
218584,747,8
522369,7036,6
519168,2231,10
446632,747,8
322605,627,10
57571,6676,1
96086,2714,8
198641,7252,7
265941,317,10
225341,40,6
214372,3438,8
167839,1557,6
48287,3752,8
486439,8543,9
511495,2714,7
148679,4401,10
573852,5903,10
546906,3185,10
429424,5562,10
471846,8968,4
246815,9597,10
453877,1086,5
298913,4874,9
133586,7987,10
273852,747,9
87312,4673,10
4915,747,9
359412,2714,10
125709,747,9
101711,3038,9
234326,747,10
193933,7602,10
450229,8543,10
223844,9324,10
354977,9149,10
191101,4764,10
592869,9858,7
67547,2714,8
588551,9486,9
17180,2490,9
153106,747,6
542420,2714,9
346688,2714,8
222842,3284,9
418,5903,10
39763,6909,8
439205,747,8
29228,6970,5
154424,9057,8
477377,2714,10
87250,9904,8
468871,2714,8
410108,7502,7
134984,747,9
434201,823,8
575444,747,9
473418,2714,9
133315,6530,10
532839,2949,9
453217,747,9
388021,5034,8
190943,2714,8
192217,747,10
535241,9404,10
359047,3198,10
91939,2714,8
318389,8543,10
545538,8258,6
556499,5990,10
536285,6311,10
586434,5007,8
581049,9122,3
402715,9920,6
278921,774,3
143925,1385,10
321104,5407,5
215856,2714,10
339424,6311,8
278921,8546,5
496717,2714,10
510060,747,6
489731,8862,2
210350,1034,10
108592,747,9
157222,2714,10
585593,7479,8
463450,747,10
385982,747,10
135197,2714,6
17111,2714,2
366976,627,3
108245,1461,8
76020,2714,8
470824,4187,10
181687,2714,8
78270,10062,10
348737,2714,7
253851,3232,6
320337,8543,8
55361,1196,4
553473,10012,8
348737,747,10
178846,2714,10
121613,7479,8
13275,8822,10
428841,6682,5
324446,2714,10
563209,747,10
520026,5258,2
310668,7954,10
102613,7954,8
299623,1152,10
57600,4510,7
250383,2714,10
471846,2160,8
172198,3406,7
398896,7271,6
142709,526,10
306553,747,10
442295,747,8
474988,6138,10
129264,3185,10
91939,747,10
272911,8901,4
324377,747,8
210386,747,10
6816,8258,7
269010,2714,8
352597,218,8
